model_uid,lvis_category,caption
00c179fa48e841929c1c3725c0471770,box,gray box with latch mechanism
0039e70f459d45989290a57e887b6caa,chair,office chair
003a0100914f4cf997575c83c3a0a57f,cube,rectangular panel
00030304cd5520b7ed54068b8398a8fa42755c67f21b29789b7c06aa774f1945,cylinder,geometric sculpture
4979c076e594f534d4496f352376f56c6c6736847d056c280168e5d4279563a4,figurine,deer head mount
0007d3e94a824e3282e01b95a8feb2b6,gun,gray pistol
006c2fd54bfad7824ec4ad5abeb44bb519dc77003c877fe91f62293e4d057880,rifle,assault rifle
cf70ebcad2c94478b325341c4200227f,sculpture,abstract sculpture
0074481fb14e45b2996442c97769578e,statue_(sculpture),kneeling figure statue
00402ec6e4d34b34bb6c1b9466329648,sword,sword
00123fa59c6c45f4a76db0a1060641ec,table_lamp,adjustable desk lamp
0016dd6216114b78a0bb0dd532e09156,teapot,teapot
001b685bed55489287ad860d1c06e0dd,vase,glass bottle
01f528e480054d3d8e4cdab6349c305d,box,abstract geometric sculpture
0091a66a4c4b4f3389dbf3d057f13994,car_(automobile),gray abstract geometric block
00906725d3d583175dc881c467f675889dc61302ee572fb504c99754de9d3b6b,chair,L-shaped bracket with hole
01134969b45cf8b46e0124c4f02b116010185d6b74a5b85980326ac90e245158,cylinder,textured cylinder
d05a2d7bc820c0e8b1a85857c3698251f9ff4ce7d082c1ad5e3bb11e8da09e04,figurine,humanoid figure
00a6e74d8eeb428bb3e01b9361d8d57e,gun,futuristic weapon
016921ce9ac04d09adf5ae1cffddc9df,pottery,ancient amphora
013c3a1d945a4336a87f889c3d4c25b1,rifle,rifle
579fe2cb404d435699c08ba0819d39c4,sculpture,bust sculpture
007120b5c6824a368ca12954aff4090c,sword,sword
0076bb64adde4f11a133f1e77eca7124,table_lamp,lamp
008bce15bbb0d7fcbd2faca76b24b9fc32b8ff155845b311765e965f8a851211,teapot,teapot
00f5f9340b9e47f2bfaa917cbec2749b,toy,stylized cat figurine
00e942de349844198f4246985640ae0c,vase,gray vase
0229f5574e24417782090df0541f94ba,box,box with lid
0122dcc68b304380867558bb52ea586d,car_(automobile),car model
010ecb5d53624ba3900695347c2c90fa,chair,wooden chair
00f47c94c9ad4fe19595421c03989575,cube,storage cabinet
01a99c1d0fe14651bda93d2ed9c930eb,cylinder,mechanical linkage component
3cea01ccfdcd0c1a12ec88a91191c34e34a2b4ff854ca3e14c35e885a7215c0f,figurine,abstract figurine
01bc6a6bdacd3c5192588edb1e7bb7fbdf7fa705fa201c23ada92fb684ca5043,pottery,dustpan and brush set
023d66eb82282bc2051f1e55ff893e48514526be3bda35ee12c36d9b223ac827,rifle,shower head assembly
cc41a5200f3096742a1694247d9c64751cf8253c0f95bf16f80c9e5ed516cc2b,sculpture,stylized mask
02096811cf7d4b3baea09871282b131c,statue_(sculpture),abstract human figure on board
00ae32276d0f43c7b27b94ced1cd7a14,sword,sword
021316d2c92e4daa8acc87d34d297fea,table_lamp,gray mushroom-shaped object
01462e3e75fe473a87a7dbfbd45b3f81,teapot,teapot
01683516203f4a369036d4e016e53ab4,toy,miniature robot figurine
0142301eaacd4876823b65c33f54bcd0,vase,gray vase
014bdbb3ff02710e9f0e6021c5b48ace179294057a02e452afc3116d6f970ea7,chair,three stylized trees
018a2be65a65434ca4406d2df0a1908c,cube,gray storage box
b2dd142c8e6f4122b095d27b3f478df9,figurine,robot with square panel
014f4d6ca607db2be643802b5f2a51e0b983a2ba15c81557977b80c2578fd8f1,gun,gun
022e0ec6957c40ddb176a7034624fa6f,pottery,broken ceramic pot fragment
033c5e9169324b5ebb52d9f6c6b31285,rifle,rifle
e4ec0a496461521c61e231b57769b6d12d1b73d348283d66c6c8534e5069ba61,sculpture,elephant
024b32dbda7f4e8685979af2bb5446a7,statue_(sculpture),statue on pedestal
011bf47221c24382b6717b0ee2df8816,sword,sword
039b23a490400b792413258ac2e54f876e86305fde7c9e5d732f7c8348a7aa4a,table_lamp,spindle-shaped object
01c9b245895bea70d3e4c8a09b77664356028d9631999d2c20b79889846f36ec,toy,toy truck
01d12b924a7e4f46a7b418bea13edf17,vase,ceramic vase
03e0a559a73b26d04df0e41080572a82dc038582b8559e08c40b6c197afc674a,box,box
01d282a83a864974b8798b833e6fedc1,car_(automobile),sports car
01ab81c3c602c2718df8365bb3d4c2073d3f06e50144d402edfca13b8734bded,chair,wooden chair
01ed924a8ff0a0259f3d47c49128becdbcff7c8f1b4dbe9e2c3db73bbe1b2ccf,cube,gray cube
d9ebda9b52d6a5ac3144ba931426f75ee08089d2382865d7f322a230efff7678,figurine,abstract mechanical part
01c13931f4364929a1c402e1664c0369,gun,rifle
0361072af3d465f6082fc0550a45e800e552efe7b2fa64ff283aaea138f9e1f2,pottery,ceramic pot with lid
03b12982f3a94c14b27c70509cfbefca,rifle,rifle
c30e08e1c3b93a68c3a6988e7c09d912e79be9984bc1403d553e0d793387f493,sculpture,abstract geometric sculpture
03a125e6665b43b3a7338a0c07048355,statue_(sculpture),statue of child on pedestal
051dd27e688e47ffb3217315818afd6d,table_lamp,wall-mounted lamp with mirror
02663b5e908b490ab034dfd8e08cfd56,toy,bird sculpture
0348f81345bd0bda478d50284369c7840225735f967f261727aa907bef8d00bf,vase,abstract gray sculptural form
051c659d293e46b6b2db3abdba5bfd3b,box,gray box-like container
0217fc434b6b4ca7a60edf9fb9a6d18d,car_(automobile),car model
01e54ce8c02355bea1a0997e669b16e2d523d359643c033433b0d34498d4d0cb,chair,armchair
0330bbb6205d3d8ba243b1c02fae73352df7d99237d7d136349fe8c29d1fb674,cube,gray geometric block
0352dfb4bd171eafde03a3c480205c1d8f3bfc077b12976c029c02c96b02bad8,cylinder,geometric wheel-like object
5e6849fd552688b36b4dbc7767a8abc2b0160eeb4fdd34a0e8c6f01e9b610a05,figurine,abstract human figure sculpture
02009da186b3461c98af848964838fa0,gun,pistol
041e78df48c741aabf11500c5707455b,pottery,gray pot
04444642bc9b24440731f5be1383aacaf61e6d543ff07f8f5d310806f06410fb,rifle,assault rifle
b14c650484f5429cae6cc7cb91075c62,sculpture,abstract sculpture
01a6ed00ff264106b324917baaaad738,sword,refrigerator door
070344de71fd4e1dab48022a5dc9266d,table_lamp,table lamp
0384316268fc4b9d98784599e644b2e0,teapot,toilet paper holder
02ee38c949b8468bae3a5bd9588b6a3e,toy,skateboarder figurine
03f6de03a15e4e398987ea88f53a1af0,vase,vase
05e5a3a27443923dde510db8b18f6dedb6750bf8ba28e827aca2bdbeabe9f654,box,gray plastic mailbox
0293121f65996dc2822899446d081050ff10a51f44243bfd2e8cab7a69e91adb,car_(automobile),broken car
0224f591716adc9b17fc04454415eb74750d9ab96d6d946cfba05c3504936599,chair,foldable chair
03976f3d7f3846358d71e608565897c9,cube,geometric solid
54b7dbfdd74c4856927635af4164376b,figurine,abstract geometric sculpture
0284492d55f0015b6366458df48f8ccab4fc8c61de1a7d5524ba55f2f9b83c74,gun,abstract geometric sculpture
045f8ff967db4e59b1ea72f615e274a2,pottery,gray spherical object
04b9582eaafe4747ba7d854acf269326,rifle,assault rifle
054a05e8aaf54d9d85cce509bf438030,statue_(sculpture),statue on pedestal
01e1906dd2c84947b6948a8013e01e4d,sword,abstract sculpture
07817461149549398cd5a12044682515,table_lamp,lamp
03ff047392864c9a902447bc9feadb8f,teapot,teapot
03b652b3678e4eba9fcad09145e51aa0,toy,kendama
04a77bfa3a1a91162f28770b2fb225fdb179cae0571c822b03aae3f34cce472c,vase,gray vase
07ad294b7c3f48d39c7cc0dda1fb77a6,box,gray geometric stone fragment
0300f4d7178844038fc40ea2d4668bdb,car_(automobile),toy car
0267128e905540e2b2de215841ba4445,chair,square platform with chair
04150cddbe08cfc53db770d814b27310d2bd88d6a155ef75bf0ea6da359d1e87,cube,gray box
04fc320475064a5b757646bf0e4f1aa74b19707b643c064a7d6eb43b3ab37ea9,cylinder,gray stone-like block
02fad77e72014884a0d810b3583c3144,gun,revolver pistol
052b14c2f40d4615b473ce5a9a6fd39e,pottery,clay jug
057d8e6263df484dbcc767ff0aa26be7,rifle,gun
10744d171695d880aac59812762bd4ec7e721f3cca454cced2df627f8114967c,sculpture,low-poly bird sculpture
05e9fecd8f0c468e8e3c40af2821108b,statue_(sculpture),Buddha head sculpture
021fc22798cf4fff98880d98dcbc2dab,sword,sword
08884303b41b440eb937878c46b84dba,table_lamp,wall-mounted lamp
04fd97cff2a24f2299d69e6f2d99fa38,teapot,conical container with lid
0423cb671140a23e8945172157447ea9b6cd86a573478ae698f73a6e85877df7,toy,low-poly tank model
0837c63c56af4929891f6d0c9ea9f5c9,box,gray geometric box
03b9e77233dd480086174998e2fbb04c,car_(automobile),car with roof rack
02ad437a8979d39a39f7be6382f5bba8c1b24c1ff1377312d7f7032f20f2ce9e,chair,broken chair
05b5bacc7e5a2d93ff76a9939ad4c813bf0580104cc56dbb46f92d09b5562bd1,cylinder,bolt
0eebd61775f154c0a01e1535c8cdf3e8d00437c8a4007bb7f72170d1b8302720,figurine,humanoid figure
036be820969a45c88f7ccbcd245368e9,gun,cannon
0603d92b43c74f489255eb2da1041884,pottery,textured acorn-shaped object
06459b5e8a93ed7443d7a616170f9cde8086a096b2e78ca16356a2d6aaf6206d,rifle,rifle
d0e3c5ea263b40698bb853276baace34,sculpture,stone figurine
06f60abbe2994f8aa794497cf66e0cbd,statue_(sculpture),statue
0265092287ac457b8524b50288e2018b,sword,sword
097aadf1967a0bd9811b9fa7cb521b1e3ed647c3ee5300ee3724c34291d8407c,table_lamp,dumbbell
05922775cb514c3597eedd472309249f,teapot,teapot
04dee405db0a47b6b87a5527decb8e38,toy,submarine
0619e3c1f8aa47da9da28269ba17c3ed,vase,vase
08d07f68d14a430f817f5b430f90accb,box,geometric solid
042d244824e34d9aa770ff59abd18f6d,car_(automobile),car
02f5515e6c5944658b4c71dbd6e08272,chair,wooden chair
051da4be446b797490868fefcc16914d3371af43c0d9f24b6dad6549d98ee384,cube,gray cube
067d5a1a43244fa98774de0dab6c2398,cylinder,screw
3e5c5df7b3b601222ea073c404450bfe100c3065e17d22010d57f5adbe311ca9,figurine,humanoid figure
03d4ef0017be42a980ade21614317c04,gun,gun
0812b0b6f6e94ba79a9aadf40c266787,statue_(sculpture),statue
02de17eb64ec4731a05aaea4012eaff5,sword,sword
0aa595b44571273a7b8658fc3b7f87d6100d2e02a65added18abd8c411b85cc7,table_lamp,lamp with animal base
06164a03c00c460bb02c499c67cc4875,teapot,teapot
